,Sentence,sequences,length,Emotion
13359,feeling fairly uncertain thing right moment,"['feeling', 'fairly', 'uncertain', 'thing', 'right', 'moment']",6,fear
13360,feel regretful able finish set data,"['feel', 'regretful', 'able', 'finish', 'set', 'data']",6,sadness
13361,feeling work,"['feeling', 'work']",2,fear
13364,get feeling people much past cried hair must look perfect whatever weather anxiety end tether,"['get', 'feeling', 'people', 'much', 'past', 'cried', 'hair', 'must', 'look', 'perfect', 'whatever', 'weather', 'anxiety', 'end', 'tether']",15,anger
13370,feel like sarcastic mean history paper,"['feel', 'like', 'sarcastic', 'mean', 'history', 'paper']",6,anger
13372,feel rotten frustration manifest annoyance anger yet still keep helping,"['feel', 'rotten', 'frustration', 'manifest', 'annoyance', 'anger', 'yet', 'still', 'keep', 'helping']",10,sadness
13373,feel really vulnerable tell much honest hate,"['feel', 'really', 'vulnerable', 'tell', 'much', 'honest', 'hate']",7,fear
13374,brandish article anyone make fun bed late whenever feel tragic,"['brandish', 'article', 'anyone', 'make', 'fun', 'bed', 'late', 'whenever', 'feel', 'tragic']",10,sadness
13376,feeling week,"['feeling', 'week']",2,sadness
13377,want obedient feel country culture find abortion acceptable,"['want', 'obedient', 'feel', 'country', 'culture', 'find', 'abortion', 'acceptable']",8,sadness
13380,last saw already feeling,"['last', 'saw', 'already', 'feeling']",4,anger
13381,feel offended hurt,"['feel', 'offended', 'hurt']",3,anger
13385,lost uncle would sad feel,"['lost', 'uncle', 'would', 'sad', 'feel']",5,sadness
13386,said many time want feel fake overdone,"['said', 'many', 'time', 'want', 'feel', 'fake', 'overdone']",7,sadness
13387,feeling envious nation despite small land,"['feeling', 'envious', 'nation', 'despite', 'small', 'land']",6,anger
13388,feel rude feel free grab seat next,"['feel', 'rude', 'feel', 'free', 'grab', 'seat', 'next']",7,anger
13389,said feel like explain dont think perverse,"['said', 'feel', 'like', 'explain', 'dont', 'think', 'perverse']",7,sadness
13390,feel disgusted,"['feel', 'disgusted']",2,anger
13392,feel ludicrous,"['feel', 'ludicrous']",2,sadness
13393,feel wear wear show girl school timid come fashion look weird walk around head high,"['feel', 'wear', 'wear', 'show', 'girl', 'school', 'timid', 'come', 'fashion', 'look', 'weird', 'walk', 'around', 'head', 'high']",15,fear
13397,cant help feel opportunity,"['cant', 'help', 'feel', 'opportunity']",4,sadness
13399,didnt really want talk anyone kind selfish feel id rather ignore selfish,"['didnt', 'really', 'want', 'talk', 'anyone', 'kind', 'selfish', 'feel', 'id', 'rather', 'ignore', 'selfish']",12,anger
13400,wish didnt feel like roommate half time,"['wish', 'didnt', 'feel', 'like', 'roommate', 'half', 'time']",7,anger
13401,left talk feeling nervous taken brief wrong sense situation already much time project going back,"['left', 'talk', 'feeling', 'nervous', 'taken', 'brief', 'wrong', 'sense', 'situation', 'already', 'much', 'time', 'project', 'going', 'back']",15,fear
13404,feel frightened citizen honest performance neither,"['feel', 'frightened', 'citizen', 'honest', 'performance', 'neither']",6,fear
13407,break time feeling like lousy,"['break', 'time', 'feeling', 'like', 'lousy']",5,sadness
13408,also find wrap story good closure conclusion leave reader feeling rushed,"['also', 'find', 'wrap', 'story', 'good', 'closure', 'conclusion', 'leave', 'reader', 'feeling', 'rushed']",11,anger
13410,feel reluctant talk issue immediate especially one cannot make much difference individually spread word,"['feel', 'reluctant', 'talk', 'issue', 'immediate', 'especially', 'one', 'cannot', 'make', 'much', 'difference', 'individually', 'spread', 'word']",14,fear
13414,feeling little,"['feeling', 'little']",2,sadness
13417,love leave reader feeling confused slightly,"['love', 'leave', 'reader', 'feeling', 'confused', 'slightly']",6,fear
13420,quick anger lash yet even feel remorseful almost immediately,"['quick', 'anger', 'lash', 'yet', 'even', 'feel', 'remorseful', 'almost', 'immediately']",9,sadness
13423,feel pretty rotten cant,"['feel', 'pretty', 'rotten', 'cant']",4,sadness
13424,feel need remind never alone though lonely may know distress thing haunt best,"['feel', 'need', 'remind', 'never', 'alone', 'though', 'lonely', 'may', 'know', 'distress', 'thing', 'haunt', 'best']",13,sadness
13425,feel though summer cast alternate universe went wrong way stuck world one knew one way,"['feel', 'though', 'summer', 'cast', 'alternate', 'universe', 'went', 'wrong', 'way', 'stuck', 'world', 'one', 'knew', 'one', 'way']",15,anger
13427,send show true feeling issue run risk,"['send', 'show', 'true', 'feeling', 'issue', 'run', 'risk']",7,sadness
13428,feel world,"['feel', 'world']",2,sadness
13430,feeling uncomfortable comfort warmth,"['feeling', 'uncomfortable', 'comfort', 'warmth']",4,fear
13431,break leaf feeling bitter,"['break', 'leaf', 'feeling', 'bitter']",4,anger
13433,feel like little doll get decorate heel thats wear,"['feel', 'like', 'little', 'doll', 'get', 'decorate', 'heel', 'thats', 'wear']",9,anger
13434,enjoy driving brand new car still feel pained whenever think would money saved second hand car,"['enjoy', 'driving', 'brand', 'new', 'car', 'still', 'feel', 'pained', 'whenever', 'think', 'would', 'money', 'saved', 'second', 'hand', 'car']",16,sadness
13436,spent day cry throwing running everywhere dealing naughty toddler getting little sleep generally feeling,"['spent', 'day', 'cry', 'throwing', 'running', 'everywhere', 'dealing', 'naughty', 'toddler', 'getting', 'little', 'sleep', 'generally', 'feeling']",14,sadness
13437,feel inadequate today,"['feel', 'inadequate', 'today']",3,sadness
13438,thinking last night thought tell daughter day feel student,"['thinking', 'last', 'night', 'thought', 'tell', 'daughter', 'day', 'feel', 'student']",9,sadness
13442,running hard running fast feel like last minute probably low,"['running', 'hard', 'running', 'fast', 'feel', 'like', 'last', 'minute', 'probably', 'low']",10,sadness
13445,feel whenever people say guy cant cry feel emotional,"['feel', 'whenever', 'people', 'say', 'guy', 'cant', 'cry', 'feel', 'emotional']",9,anger
13446,always feel afraid work book tell,"['always', 'feel', 'afraid', 'work', 'book', 'tell']",6,fear
13447,personally feel little vain awhile get self centered,"['personally', 'feel', 'little', 'vain', 'awhile', 'get', 'self', 'centered']",8,sadness
13449,feel helpless hopeless feel like control life even though actuality totally,"['feel', 'helpless', 'hopeless', 'feel', 'like', 'control', 'life', 'even', 'though', 'actuality', 'totally']",11,sadness
13450,feel embarrassed anyone stop see state house enough wish could pretend werent even home someone stop,"['feel', 'embarrassed', 'anyone', 'stop', 'see', 'state', 'house', 'enough', 'wish', 'could', 'pretend', 'werent', 'even', 'home', 'someone', 'stop']",16,sadness
13451,think prone feel jealous right helping show bit intentionality time life,"['think', 'prone', 'feel', 'jealous', 'right', 'helping', 'show', 'bit', 'intentionality', 'time', 'life']",11,anger
13452,find peace world still feeling poetry tragic,"['find', 'peace', 'world', 'still', 'feeling', 'poetry', 'tragic']",7,sadness
13457,trying determine feel reluctant actually post written finally cannot something cute idea response something someone could,"['trying', 'determine', 'feel', 'reluctant', 'actually', 'post', 'written', 'finally', 'cannot', 'something', 'cute', 'idea', 'response', 'something', 'someone', 'could']",16,fear
13460,go bed feeling discontent,"['go', 'bed', 'feeling', 'discontent']",4,sadness
13465,try approach thing nature something feeling bit envious,"['try', 'approach', 'thing', 'nature', 'something', 'feeling', 'bit', 'envious']",8,anger
13467,think many feel pervasive belief control thing going right wrong life,"['think', 'many', 'feel', 'pervasive', 'belief', 'control', 'thing', 'going', 'right', 'wrong', 'life']",11,sadness
13471,already feeling broke,"['already', 'feeling', 'broke']",3,sadness
13474,even feel strange forget primer put foundation bare skin,"['even', 'feel', 'strange', 'forget', 'primer', 'put', 'foundation', 'bare', 'skin']",9,fear
13475,feel violent kill someone anyone kiss,"['feel', 'violent', 'kill', 'someone', 'anyone', 'kiss']",6,anger
13476,feeling awful afternoon,"['feeling', 'awful', 'afternoon']",3,sadness
13477,mean puzzle section par coffee numb mental faculty right still crossword shouldnt able make feel dissatisfied,"['mean', 'puzzle', 'section', 'par', 'coffee', 'numb', 'mental', 'faculty', 'right', 'still', 'crossword', 'shouldnt', 'able', 'make', 'feel', 'dissatisfied']",16,anger
13482,young cant get feeling back got killer grin maybe jaded wont leave ill try pretend cause weve got nothing lose time go,"['young', 'cant', 'get', 'feeling', 'back', 'got', 'killer', 'grin', 'maybe', 'jaded', 'wont', 'leave', 'ill', 'try', 'pretend', 'cause', 'weve', 'got', 'nothing', 'lose', 'time', 'go']",22,sadness
13483,feel life illness lose mind,"['feel', 'life', 'illness', 'lose', 'mind']",5,fear
13485,spent way much time feeling pain point frightened leave open,"['spent', 'way', 'much', 'time', 'feeling', 'pain', 'point', 'frightened', 'leave', 'open']",10,fear
13486,feel worthless stuck,"['feel', 'worthless', 'stuck']",3,sadness
13490,feel like weepy chick flick pain mother demand drug,"['feel', 'like', 'weepy', 'chick', 'flick', 'pain', 'mother', 'demand', 'drug']",9,sadness
13494,told felt bad made feel stupid know,"['told', 'felt', 'bad', 'made', 'feel', 'stupid', 'know']",7,sadness
13495,would save next time feeling cranky irritable spray lightly behind ear,"['would', 'save', 'next', 'time', 'feeling', 'cranky', 'irritable', 'spray', 'lightly', 'behind', 'ear']",11,anger
13498,feel simply repeat cycle obesity,"['feel', 'simply', 'repeat', 'cycle', 'obesity']",5,sadness
13500,feeling said impatient,"['feeling', 'said', 'impatient']",3,anger
13501,ever hail ember flake probably three story feel especially vulnerable,"['ever', 'hail', 'ember', 'flake', 'probably', 'three', 'story', 'feel', 'especially', 'vulnerable']",10,fear
13503,feel shy town camera,"['feel', 'shy', 'town', 'camera']",4,sadness
13505,never type person feel homesick away,"['never', 'type', 'person', 'feel', 'homesick', 'away']",6,sadness
13506,feel rebellious,"['feel', 'rebellious']",2,anger
13508,stack pillow side bed feel empty really nice real person back bed,"['stack', 'pillow', 'side', 'bed', 'feel', 'empty', 'really', 'nice', 'real', 'person', 'back', 'bed']",12,sadness
13509,lost hedge cricket trophy,"['lost', 'hedge', 'cricket', 'trophy']",4,sadness
13510,said without emotion feeling fearful anxiety welling chest,"['said', 'without', 'emotion', 'feeling', 'fearful', 'anxiety', 'welling', 'chest']",8,fear
13512,feeling completely useless lately,"['feeling', 'completely', 'useless', 'lately']",4,sadness
13516,really worried would feel met morning incredibly welcoming made feel relaxed straight away,"['really', 'worried', 'would', 'feel', 'met', 'morning', 'incredibly', 'welcoming', 'made', 'feel', 'relaxed', 'straight', 'away']",13,fear
13517,feel guilt burden knowing burden,"['feel', 'guilt', 'burden', 'knowing', 'burden']",5,sadness
13518,feel bitter cancer unnecessary meet someone important,"['feel', 'bitter', 'cancer', 'unnecessary', 'meet', 'someone', 'important']",7,anger
13520,feel uncomfortable wear lens brown lens make want get blue lens,"['feel', 'uncomfortable', 'wear', 'lens', 'brown', 'lens', 'make', 'want', 'get', 'blue', 'lens']",11,fear
13521,feel like awful lot past week,"['feel', 'like', 'awful', 'lot', 'past', 'week']",6,sadness
13522,feel helpless lost upset worst,"['feel', 'helpless', 'lost', 'upset', 'worst']",5,sadness
13523,feel jealous whenever relationship dont get talk,"['feel', 'jealous', 'whenever', 'relationship', 'dont', 'get', 'talk']",7,anger
13524,feeling pretty horrible dont worry,"['feeling', 'pretty', 'horrible', 'dont', 'worry']",5,anger
13525,early today vote line got long didnt feeling uncomfortable another reason,"['early', 'today', 'vote', 'line', 'got', 'long', 'didnt', 'feeling', 'uncomfortable', 'another', 'reason']",11,fear
13526,finished feeling shaky checked level see,"['finished', 'feeling', 'shaky', 'checked', 'level', 'see']",6,fear
13528,feel like terribly wronged hopeless,"['feel', 'like', 'terribly', 'wronged', 'hopeless']",5,anger
13530,feel beaten tattered washed rise air moment hear little praise another wave gust wind knock,"['feel', 'beaten', 'tattered', 'washed', 'rise', 'air', 'moment', 'hear', 'little', 'praise', 'another', 'wave', 'gust', 'wind', 'knock']",15,sadness
13533,help feel jaded,"['help', 'feel', 'jaded']",3,sadness
13535,feel grouchy irritable sick,"['feel', 'grouchy', 'irritable', 'sick']",4,anger
13538,feel hesitant say anything positive trying hold breath speak none really matter know,"['feel', 'hesitant', 'say', 'anything', 'positive', 'trying', 'hold', 'breath', 'speak', 'none', 'really', 'matter', 'know']",13,fear
13539,feeling control regain control breaking particular minute segment devote attention go,"['feeling', 'control', 'regain', 'control', 'breaking', 'particular', 'minute', 'segment', 'devote', 'attention', 'go']",11,sadness
13542,hate feeling needy vulnerable something someone sometimes like addict,"['hate', 'feeling', 'needy', 'vulnerable', 'something', 'someone', 'sometimes', 'like', 'addict']",9,sadness
13543,feeling selfish enough start lovely scarf,"['feeling', 'selfish', 'enough', 'start', 'lovely', 'scarf']",6,anger
13545,dressed already feeling sort bah humbug today really type today,"['dressed', 'already', 'feeling', 'sort', 'bah', 'humbug', 'today', 'really', 'type', 'today']",10,anger
13546,feel like timid lost lot opportunity make connection people wished id made connection,"['feel', 'like', 'timid', 'lost', 'lot', 'opportunity', 'make', 'connection', 'people', 'wished', 'id', 'made', 'connection']",13,fear
13547,feel disturbed roughly everywhere,"['feel', 'disturbed', 'roughly', 'everywhere']",4,sadness
13548,grab something hit feel pain damn know risk injury might occur know dangerous,"['grab', 'something', 'hit', 'feel', 'pain', 'damn', 'know', 'risk', 'injury', 'might', 'occur', 'know', 'dangerous']",13,anger
